"total sulfur dioxide","total sulfur dioxide1","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","density","max_density","pH","max_pH","sulphates","alcohol","quality"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"133","133","8.6","0.49","0.29","2","0.11","19","0.9972","1.00369","2.93","2.93","1.98","9.8","5"
"31","31","7.7","0.49","0.26","1.9","0.062","9","0.9966","1.00369","3.39","3.39","0.64","9.6","5"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"85","85","5","1.02","0.04","1.4","0.045","41","0.9938","1.00369","3.75","3.75","0.48","10.5","4"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"106","106","4.7","0.6","0.17","2.3","0.058","17","0.9932","1.00369","3.85","3.85","0.6","12.9","6"
"10","10","7.6","0.9","0.06","2.5","0.079","5","0.9967","1.00369","3.39","3.39","0.56","9.8","5"
"50","50","8.3","0.61","0.3","2.1","0.084","11","0.9972","1.00369","3.4","3.4","0.61","10.2","6"
"50","50","8.3","0.61","0.3","2.1","0.084","11","0.9972","1.00369","3.4","3.4","0.61","10.2","6"
"50","50","8.3","0.61","0.3","2.1","0.084","11","0.9972","1.00369","3.4","3.4","0.61","10.2","6"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"65","65","8.1","0.575","0.22","2.1","0.077","12","0.9967","1.00369","3.29","3.29","0.51","9.2","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"69","69","7.8","0.41","0.68","1.7","0.467","18","0.9973","1.00369","3.08","3.08","1.31","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"64","64","6.2","0.63","0.31","1.7","0.088","15","0.9969","1.00369","3.46","3.46","0.79","9.3","5"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"80","80","8","0.33","0.53","2.5","0.091","18","0.9976","1.00369","3.37","3.37","0.8","9.6","6"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
"153","153","8.1","0.785","0.52","2","0.122","37","0.9969","1.00369","3.21","3.21","0.69","9.3","5"
